timestamp,ref,val,knn,threshold,n-box,acc-full,acc-bbox,mAP,memo,AP0,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,FP0,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,FP9,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,TP0,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30
49:59.3,masked-trimed,wall,True,0.83,200,0.409742117,0.484240681,0.261955965,,0.090909091,0.090909091,0.090909091,0.454545455,0.090909091,0.090909091,0.363636364,0.486868687,0.363636364,0.818181818,0.090909091,0.272727273,0.090909091,0.448484848,0.090909091,0.454545455,0.385281385,0.090909091,0.090909091,0.6861471859999999,0.295670996,0.090909091,0.090909091,0.090909091,0.545454545,0.090909091,0.090909091,0.545454545,0.454545455,0.090909091,0.090909091,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,4.0,,0.0,3.0,,,4.0,15.0,1.0,,,0.0,,,0.0,2.0,,,,,,5.0,,,4.0,8.0,3.0,8.0,,1.0,,6.0,,4.0,4.0,,,10.0,6.0,0.0,,,4.0,,,5.0,4.0,,
52:05.0,masked-trimed,wall,False,0.83,200,0.498567343,0.58166188,0.355224077,,0.090909091,0.090909091,0.090909091,0.727272727,0.090909091,0.090909091,0.5,0.72027972,0.613636364,0.693181818,0.090909091,0.363636364,0.181818182,0.9090909090000001,0.090909091,1.0,0.5,0.090909091,0.090909091,1.0,0.212121212,0.454545455,0.090909091,0.090909091,0.363636364,0.090909091,0.272727273,0.318181818,0.727272727,0.090909091,0.272727273,,1.0,,2.0,,,7.0,1.0,1.0,1.0,,0.0,0.0,0.0,,0.0,1.0,,,0.0,8.0,0.0,,,0.0,,0.0,1.0,0.0,,0.0,,0.0,,10.0,,,7.0,12.0,7.0,7.0,,2.0,1.0,9.0,,11.0,5.0,,,13.0,4.0,4.0,,,3.0,,2.0,3.0,6.0,,2.0
57:53.7,masked-trimed,floor,True,0.83,200,0.349447519,0.455344081,0.26231248,,0.090909091,0.181818182,0.090909091,0.674242424,0.090909091,0.090909091,0.636363636,0.432058138,0.504545455,0.181818182,0.090909091,0.454545455,0.13636363599999998,0.438016529,0.090909091,0.296576151,0.21558441600000008,0.090909091,0.090909091,0.560069276,0.472932148,0.31948051899999996,0.090909091,0.090909091,0.181818182,0.272727273,0.090909091,0.818181818,0.127272727,0.090909091,0.13636363599999998,,0.0,,1.0,,,0.0,9.0,2.0,0.0,1.0,2.0,1.0,1.0,,5.0,3.0,,,21.0,15.0,2.0,,,0.0,0.0,,0.0,3.0,,1.0,,1.0,,11.0,,,10.0,8.0,8.0,1.0,0.0,8.0,1.0,10.0,,6.0,4.0,,,13.0,13.0,5.0,,,1.0,2.0,,13.0,2.0,,1.0
03:50.9,masked-trimed,floor,False,0.83,200,0.345303863,0.443631053,0.255873401,,0.090909091,0.181818182,0.090909091,0.636363636,0.090909091,0.090909091,0.636363636,0.525252525,0.7692307690000001,0.181818182,0.090909091,0.2,0.090909091,0.38041958,0.090909091,0.502525253,0.151515152,0.090909091,0.090909091,0.67486631,0.619174943,0.181818182,0.090909091,0.090909091,0.181818182,0.090909091,0.090909091,0.454545455,0.2,0.090909091,0.181818182,,0.0,,0.0,,,0.0,1.0,1.0,0.0,,2.0,,4.0,,3.0,1.0,,,3.0,2.0,0.0,,,0.0,,,0.0,2.0,,0.0,,1.0,,9.0,,,9.0,8.0,12.0,2.0,,3.0,,9.0,,9.0,2.0,,,14.0,15.0,1.0,,,1.0,,,6.0,3.0,,1.0
06:38.1,masked-trimed,frontview,True,0.83,200,0.432071269,0.492204905,0.20704394199999998,,0.090909091,0.090909091,0.090909091,0.363636364,0.090909091,0.272727273,0.13636363599999998,0.363636364,0.363636364,0.22727272699999998,0.090909091,0.090909091,0.090909091,0.636363636,0.090909091,0.4415584420000001,0.090909091,0.090909091,0.090909091,0.8080808079999999,0.358116883,0.13636363599999998,0.090909091,0.090909091,0.13636363599999998,0.090909091,0.181818182,0.24242424199999998,0.295454545,0.090909091,0.090909091,,,,0.0,,0.0,1.0,0.0,0.0,1.0,,,,0.0,,1.0,2.0,,,1.0,3.0,1.0,,,1.0,,0.0,1.0,1.0,,,,,,3.0,,2.0,1.0,5.0,4.0,3.0,,,,7.0,,6.0,0.0,,,8.0,5.0,1.0,,,1.0,,1.0,2.0,3.0,,
09:29.4,masked-trimed,frontview,False,0.83,200,0.443207115,0.550111353,0.25043111,,0.090909091,0.090909091,0.090909091,0.295454545,0.090909091,0.272727273,0.272727273,0.303030303,0.706293706,0.30909090899999997,0.090909091,0.13636363599999998,0.090909091,0.616161616,0.090909091,0.636363636,0.24242424199999998,0.090909091,0.090909091,0.7590909090000001,0.25,0.181818182,0.090909091,0.090909091,0.090909091,0.090909091,0.363636364,0.636363636,0.418181818,0.090909091,0.090909091,,1.0,,1.0,,0.0,0.0,2.0,2.0,1.0,,1.0,,1.0,,0.0,1.0,,,2.0,1.0,0.0,,,,,0.0,0.0,1.0,,,,0.0,,3.0,,2.0,3.0,4.0,11.0,4.0,,1.0,,8.0,,9.0,2.0,,,8.0,3.0,1.0,,,,,3.0,7.0,4.0,,
15:13.1,masked-trimed,frontview2,True,0.83,200,0.133689836,0.380782932,0.133919844,,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.181818182,0.181818182,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.46969697,0.5,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.454545455,0.090909091,0.090909091,0.090909091,,,,,,,,0.0,0.0,,,,,,,,,,,2.0,2.0,,,,,,,0.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,10.0,6.0,,,,,,,6.0,,,
25:48.5,no-masked-trimed,wall,True,0.83,200,0.530085981,0.630372465,0.509426842,,0.090909091,0.090909091,0.281818182,0.792207792,0.272727273,0.636363636,0.87012987,0.6513368979999999,1.0,0.78328742,0.181818182,0.5844155839999999,0.181818182,0.82892562,0.181818182,0.724517906,0.8080808079999999,0.090909091,0.090909091,0.807525808,0.574380165,0.727272727,0.090909091,0.272727273,0.806818182,0.090909091,0.9090909090000001,0.787878788,0.7840909090000001,0.625,0.17272727300000001,,,2.0,2.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,,10.0,13.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,7.0,,,3.0,12.0,2.0,6.0,13.0,13.0,12.0,8.0,1.0,6.0,1.0,9.0,1.0,9.0,8.0,0.0,,11.0,9.0,9.0,0.0,2.0,7.0,0.0,8.0,8.0,7.0,7.0,3.0
27:53.7,no-masked-trimed,wall,False,0.83,200,0.5530086160000001,0.696275055,0.589199482,,0.090909091,0.519480519,0.409090909,1.0,0.090909091,0.636363636,0.902597403,0.894173938,1.0,0.975206612,0.181818182,0.454545455,0.363636364,0.845454545,0.090909091,0.924242424,0.9090909090000001,0.090909091,0.090909091,0.9660339659999999,0.601847351,0.901515152,0.090909091,0.613636364,0.556818182,0.13636363599999998,0.38961039,0.9090909090000001,0.7840909090000001,0.954545455,0.89047619,,1.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0,,1.0,0.0,,,2.0,8.0,1.0,,1.0,3.0,1.0,4.0,0.0,1.0,1.0,2.0,,6.0,4.0,14.0,0.0,6.0,13.0,17.0,13.0,10.0,1.0,4.0,3.0,9.0,,11.0,9.0,,,12.0,9.0,11.0,,7.0,5.0,1.0,4.0,9.0,7.0,11.0,13.0
33:47.9,no-masked-trimed,floor,True,0.83,200,0.306629837,0.47291362299999995,0.417836854,,0.090909091,0.12121212099999999,0.333333333,0.808416647,0.140692641,0.090909091,0.806060606,0.541860917,1.0,0.272727273,0.454545455,0.7070707070000001,0.181818182,0.412121212,0.090909091,0.541148325,0.375901876,0.090909091,0.090909091,0.706371753,0.67927049,0.7292561240000001,0.090909091,0.163636364,0.307162534,0.15,0.424242424,0.7570247929999999,0.625668449,0.463400236,0.704545455,,2.0,1.0,8.0,11.0,1.0,2.0,27.0,0.0,0.0,2.0,7.0,0.0,4.0,,7.0,4.0,,,49.0,5.0,6.0,13.0,13.0,5.0,17.0,1.0,2.0,1.0,5.0,4.0,,1.0,8.0,15.0,3.0,0.0,13.0,12.0,16.0,3.0,6.0,15.0,1.0,11.0,,13.0,12.0,,,15.0,17.0,13.0,0.0,2.0,6.0,3.0,5.0,13.0,16.0,9.0,12.0
